# derived by scripts/check-operation-params.py - do not edit
# a parameter is written name:kind; ? means no class declares it
# column 3 is established for the operation - read by the code that handles it
# column 5 is the rest of what this operation accepts: read by the facade on the way
# down, and for a switch facade that walk does not stop at the handlers, so some of
# it belongs to sibling operations. Both columns are parameters a caller may send -
# together they are what the unread-argument guard allows, unchanged - and only the
# first is established as this operation's, which is what per-operation help prints
# as its own.
DcsWorkshopTool	add_field	dataSetName:string,name:string	handler DcsWorkshopTool.doAddField, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_field_template	field:string,schemaTemplateName:string	handler DcsWorkshopTool.doAddFieldTemplate, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_filter	comparisonType:string,field:string,userSettingPresentation:string,value:string,viewMode:string	handler DcsWorkshopTool.doAddFilter, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean
DcsWorkshopTool	add_filter_group	groupType:string	handler DcsWorkshopTool.doAddSettingsFilterGroup, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_group_template	groupName:string,header:boolean,schemaTemplateName:string,templateType:string	handler DcsWorkshopTool.doAddGroupTemplate, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_grouping	field:string,groupingType:string,name:string,parentPath:string	handler DcsWorkshopTool.doAddGrouping, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_nested_schema	name:string,title:string,url:string	handler DcsWorkshopTool.doAddNestedSchema, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_order	direction:string,field:string,orderType:string	handler DcsWorkshopTool.doAddSettingsOrder, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_parameter	name:string,title:string,type:string	handler DcsWorkshopTool.doAddParameter, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_query_condition	condition:string,dataSetName:string	handler DcsWorkshopTool.doAddQueryCondition, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_query_field	dataSetName:string,field:string	handler DcsWorkshopTool.doAddQueryField, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_schema_template	name:string	handler DcsWorkshopTool.doAddSchemaTemplate, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_settings_chart	name:string	handler DcsWorkshopTool.doAddSettingsStructureItem, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_settings_filter_group	groupType:string	handler DcsWorkshopTool.doAddSettingsFilterGroup, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_settings_order	direction:string,field:string,orderType:string	handler DcsWorkshopTool.doAddSettingsOrder, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_settings_selected_field	field:string,title:string	handler DcsWorkshopTool.doAddSettingsSelectedField, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_settings_table	name:string	handler DcsWorkshopTool.doAddSettingsStructureItem, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_settings_variant	name:string,presentation:string	handler DcsWorkshopTool.doAddSettingsVariant, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_template_cell	field:string,rowIndex:integer,schemaTemplateName:string	handler DcsWorkshopTool.doAddTemplateCell, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_template_row	schemaTemplateName:string	handler DcsWorkshopTool.doAddTemplateRow, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_total	aggregateFunction:string,expression:string	handler DcsWorkshopTool.doAddTotal, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_total_template	groupName:string,groupName2:string,schemaTemplateName:string,templateType:string,templateType2:string	handler DcsWorkshopTool.doAddTotalTemplate, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_union_item	dataObjectName:string,dataSetName:string,dataSetType:string,name:string,queryText:string	handler DcsWorkshopTool.doAddUnionItem, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_user_field	expression:string,name:string,title:string	handler DcsWorkshopTool.doAddUserField, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	add_variant	name:string,presentation:string	handler DcsWorkshopTool.doAddSettingsVariant, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	clear_settings_selected_fields	attributeName:string,dataSetType:string,field:string	handler DcsWorkshopTool.doClearSettingsSelectedFields, passed in as locals	dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	clone_settings_variant	name:string,presentation:string,sourceName:string	handler DcsWorkshopTool.doCloneSettingsVariant, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
DcsWorkshopTool	deselect_field	field:string	handler DcsWorkshopTool.doRemoveSettingsSelectedField, read in place	attributeName:string,dryRun:boolean,formFqn:string,nestedSchemaName:string,objectName:string,overwriteModel:boolean,projectName:string,property:string,queryText:string,templateName:string,validate_expression:boolean,validate_query:boolean,value:string
